iter	RMSE
0	516169.1792
1	497827.5666
2	479909.6525
3	463763.1558
4	448696.3242
5	434090.7036
6	419626.6343
7	405744.8969
8	394238.3758
9	382613.5622
10	371381.3101
11	361529.3205
12	351153.7636
13	342102.4454
14	333637.806
15	325301.1125
16	317788.94
17	309452.5287
18	302034.684
19	294848.6858
20	288378.0554
21	283239.2283
22	277190.789
23	271470.5175
24	266308.4564
25	261352.714
26	256254.0966
27	251641.4815
28	247777.8077
29	244175.5483
30	240006.8145
31	236315.7009
32	232655.4063
33	229632.6169
34	225969.0006
35	222488.891
36	219752.3755
37	216668.7713
38	214200.7919
39	211956.7484
40	209861.6948
41	207571.2609
42	205681.0302
43	203818.405
44	201961.3537
45	200171.6032
46	198679.12
47	198378.8496
48	196038.7882
49	194106.401
50	193111.741
51	192164.4934
52	191066.2258
53	189542.0087
54	188658.4811
55	188326.4426
56	186817.0417
57	186574.551
58	185763.0229
59	184685.8383
60	183853.1583
61	183637.3478
62	183427.5748
63	182277.8572
64	181673.0723
65	181174.5287
66	180400.7837
67	179592.3041
68	178631.4027
69	178217.4707
70	178020.6425
71	177123.2167
72	176212.598
73	175449.356
74	175137.3108
75	174212.393
76	173573.4278
77	173406.9663
78	172656.6306
79	172233.387
80	172093.3078
81	171277.3521
82	170325.6715
83	170109.8326
84	169297.251
85	169175.2487
86	168308.7623
87	167550.6283
88	167149.7768
89	166724.3528
90	166159.9535
91	165626.1202
92	165248.7585
93	164924.8287
94	164157.7778
95	163645.5737
96	163200.7652
97	162756.1432
98	162036.6774
99	161439.4035
100	161007.866
101	160406.6959
102	160026.9538
103	159653.1403
104	159312.4429
105	158955.0535
106	158537.0538
107	158164.8048
108	157941.3385
109	157585.3122
110	157437.2912
111	157254.337
112	157027.6881
113	156425.8202
114	156199.355
115	155819.672
116	155674.5195
117	155324.761
118	154976.6044
119	154604.3491
120	154332.948
121	154247.1502
122	153900.5188
123	153817.6471
124	153770.3446
125	153320.5847
126	153058.5571
127	152702.7337
128	152304.4567
129	151948.2841
130	151540.4274
131	151403.1912
132	151335.8995
133	151114.2657
134	150840.3913
135	150626.9522
136	150347.8795
137	150003.5952
138	149668.9917
139	149365.9618
140	149301.3862
141	148934.9123
142	148583.6123
143	148351.5789
144	148028.6439
145	147823.2175
146	147557.7476
147	147238.9593
148	147051.2908
149	146804.9803
150	146576.1993
151	146414.8596
152	145722.4578
153	145631.9224
154	145450.4441
155	145339.1789
156	145192.0628
157	144759.4815
158	144510.0876
159	144392.3256
160	144217.9635
161	144055.2934
162	143843.8645
163	143602.4152
164	143379.847
165	142686.9791
166	142465.9927
167	142191.7645
168	141904.1013
169	141653.2685
170	141504.3652
171	141329.0078
172	141132.3196
173	140844.0544
174	140743.18
175	140462.9409
176	140296.9367
177	140096.3384
178	139999.0454
179	139833.3021
180	139573.3361
181	139205.6175
182	139047.3596
183	138912.5078
184	138740.8343
185	138559.2351
186	138453.7916
187	138312.3741
188	138170.5364
189	137976.3321
190	137592.6446
191	137327.1278
192	137126.7753
193	136864.1899
194	136600.3616
195	136299.5861
196	136168.0443
197	135898.8683
198	135729.5251
199	135601.2665
200	135478.327
201	135352.9291
202	135126.2926
203	135030.0533
204	134868.8459
205	134581.3716
206	134469.5713
207	134352.6099
208	134201.938
209	134073.2804
210	133978.6914
211	133756.5359
212	133597.3034
213	133247.8281
214	133128.0563
215	132921.8857
216	132626.1297
217	132483.3899
218	132142.3101
219	132064.6835
220	131727.6023
221	131627.1353
222	131450.8838
223	131343.3094
224	131081.3472
225	130814.884
226	130731.0988
227	130650.105
228	130319.4187
229	130228.4836
230	129997.3584
231	129704.5533
232	129551.5101
233	129407.9471
234	129324.5922
235	129129.8097
236	129018.9557
237	128896.347
238	128691.6861
239	128581.362
240	128498.6125
241	128344.5205
242	127997.5166
243	127806.611
244	127561.1219
245	127475.6515
246	127162.0316
247	127086.9416
248	127010.5242
249	126936.4666
250	126772.2422
251	126558.9934
252	126422.3463
253	126357.3184
254	126253.8249
255	126102.8636
256	125824.4666
257	125729.7214
258	125437.3322
259	125325.1431
260	125255.5582
261	125091.4016
262	125026.9309
263	124958.3003
264	124892.1053
265	124778.6299
266	124722.1434
267	124597.5686
268	124480.6537
269	124377.341
270	124235.5031
271	124177.7493
272	124112.3606
273	124053.2977
274	123883.6736
275	123797.5377
276	123697.03
277	123522.8549
278	123341.2886
279	123273.2995
280	123171.5088
281	123043.3013
282	122964.0654
283	122793.1747
284	122659.0785
285	122553.4828
286	122462.8219
287	122404.5862
288	122262.7824
289	122193.7101
290	122018.6401
291	121969.7654
292	121913.395
293	121724.8155
294	121671.9519
295	121527.5431
296	121476.8084
297	121426.2354
298	121354.9723
299	121312.0219
300	121104.0048
301	121046.7796
302	120907.4108
303	120756.8405
304	120694.8075
305	120569.6871
306	120421.3236
307	120341.2457
308	120242.5938
309	120194.4138
310	120144.5616
311	120075.4172
312	119991.2515
313	119937.1699
314	119863.7406
315	119665.4276
316	119540.8076
317	119483.8236
318	119379.3953
319	119268.2846
320	119172.6603
321	119127.2082
322	119087.2687
323	119048.438
324	118981.6623
325	118938.5184
326	118901.1772
327	118728.5533
328	118597.629
329	118524.271
330	118444.5995
331	118291.6742
332	118133.7086
333	117965.5918
334	117924.7841
335	117868.6473
336	117759.8762
337	117693.8334
338	117604.9531
339	117566.23
340	117533.0768
341	117467.1242
342	117358.9852
343	117268.7389
344	117138.7225
345	117004.6273
346	116919.952
347	116887.9985
348	116823.8333
349	116675.7369
350	116627.1781
351	116513.9787
352	116287.3834
353	116247.8658
354	116089.6667
355	115990.991
356	115956.3636
357	115833.5874
358	115770.671
359	115637.0113
360	115559.1305
361	115525.9468
362	115453.6844
363	115377.8004
364	115332.4515
365	115302.8856
366	115212.9866
367	115158.4917
368	115126.766
369	115057.2899
370	115009.774
371	114892.6418
372	114814.7058
373	114765.1377
374	114693.7114
375	114646.171
376	114619.3646
377	114495.2391
378	114396.5886
379	114324.8847
380	114255.2578
381	114209.6042
382	114169.4743
383	114076.6276
384	114035.4055
385	114007.1208
386	113900.8881
387	113766.9895
388	113720.2037
389	113646.1439
390	113490.4024
391	113350.2135
392	113289.6888
393	113246.398
394	113139.4265
395	113085.648
396	113010.6249
397	112968.5967
398	112875.6114
399	112823.8004
400	112798.9495
401	112691.4101
402	112572.4232
403	112548.3575
404	112464.4633
405	112421.2926
406	112380.0596
407	112255.9986
408	112195.0038
409	112150.9189
410	112127.8239
411	112081.8966
412	112037.8952
413	111997.723
414	111879.3576
415	111776.444
416	111653.6637
417	111615.1183
418	111520.9478
419	111453.9225
420	111406.9596
421	111382.3274
422	111299.9765
423	111219.9547
424	111139.4643
425	111093.5367
426	110970.6409
427	110839.7768
428	110791.7141
429	110766.88
430	110745.626
431	110641.0711
432	110620.6636
433	110601.002
434	110564.9573
435	110526.9188
436	110433.4176
437	110375.7283
438	110286.6863
439	110236.209
440	110192.4275
441	110104.3748
442	110075.3188
443	110011.0315
444	109957.5014
445	109924.4556
446	109838.373
