iter	RMSE
0	516169.1792
1	497827.5666
2	479909.6525
3	463763.1558
4	449103.3432
5	434803.8275
6	420314.6305
7	406324.2095
8	395157.4386
9	383814.6705
10	372664.4659
11	361791.7574
12	351964.7438
13	342390.4065
14	333869.5153
15	325437.3069
16	317989.0182
17	309395.073
18	301843.1306
19	294765.8168
20	288147.0697
21	281859.3741
22	275658.4764
23	270471.707
24	265485.8171
25	261453.3211
26	256879.3388
27	252297.8103
28	248672.4341
29	244883.4319
30	240752.3298
31	237119.0739
32	233049.0233
33	230069.9018
34	226729.679
35	223271.7554
36	220771.5221
37	218199.6146
38	215248.3027
39	212639.432
40	209997.0565
41	207698.6245
42	205795.7427
43	205154.2246
44	203153.8162
45	201282.3049
46	199735.788
47	199429.5539
48	197455.8968
49	195233.4912
50	194942.9065
51	194663.054
52	193057.9
53	191467.8627
54	189525.5835
55	189273.6791
56	188125.3368
57	187882.3104
58	186606.5139
59	185609.0697
60	184063.1277
61	183844.2411
62	182623.9975
63	182212.3798
64	182007.2268
65	181263.3406
66	180979.8934
67	180608.1553
68	180421.1509
69	179635.2505
70	178581.0325
71	178227.855
72	177139.7253
73	176976.6494
74	175731.8417
75	175563.7756
76	175102.6845
77	174955.186
78	174046.6854
79	173736.9168
80	173599.7324
81	173460.1978
82	173327.1684
83	173091.1682
84	172277.7509
85	171482.8605
86	170636.6064
87	170097.5281
88	169985.8432
89	169874.8795
90	169768.2987
91	169665.3092
92	169563.9524
93	168586.9633
94	167940.0658
95	167843.8119
96	167094.1332
97	166409.7374
98	165863.6117
99	165244.34
100	165159.8477
101	164471.086
102	163703.3551
103	163362.0505
104	162903.7234
105	162492.5624
106	162032.4737
107	161695.4673
108	161192.6336
109	160679.7593
110	160251.5201
111	159939.6768
112	159628.1466
113	159046.7292
114	158693.2495
115	158147.7861
116	157908.7825
117	157834.652
118	157379.511
119	157076.0221
120	156846.129
121	156656.6462
122	156163.2394
123	155704.9462
124	155156.431
125	154883.7503
126	154433.1854
127	154039.826
128	153731.3754
129	153371.1542
130	153208.198
131	152837.1225
132	152434.6853
133	152239.3755
134	151747.9659
135	151344.4725
136	150925.5064
137	150559.4847
138	150514.7182
139	150137.0331
140	149494.3693
141	149355.6944
142	149117.5447
143	148977.9772
144	148677.7786
145	148308.0274
146	148068.484
147	147587.041
148	147347.3468
149	147078.355
150	146966.5021
151	146897.8368
152	146638.8157
153	146373.6917
154	146083.2459
155	145799.3991
156	145537.5842
157	145361.9856
158	145022.4484
159	144838.3885
160	144599.0114
161	144257.023
162	144091.5279
163	143868.7614
164	143672.3667
165	143480.2579
166	143316.371
167	143075.3928
168	142521.7998
169	142326.7029
170	141846.1841
171	141606.8725
172	141420.294
173	140995.3145
174	140866.4079
175	140525.2348
176	140350.7728
177	140258.3566
178	140076.0105
179	139853.7951
180	139737.9058
181	139303.2849
182	139133.1797
183	138925.8659
184	138569.8582
185	138394.2299
186	138249.5773
187	137984.972
188	137830.9399
189	137745.7691
190	137663.7171
191	137428.0482
192	137295.6128
193	137130.9385
194	136836.3341
195	136688.0423
196	136543.5149
197	136378.3625
198	136292.5838
199	136108.4975
200	135980.9216
201	135792.4337
202	135720.0485
203	135591.757
204	135369.044
205	135227.9711
206	134824.9218
207	134705.8631
208	134385.1979
209	134275.0106
210	134187.1618
211	134041.0191
212	133712.1613
213	133560.0934
214	133458.6414
215	133266.4694
216	133195.5933
217	133095.4555
218	132946.0588
219	132560.1828
220	132431.9973
221	132316.4795
222	132129.5796
223	131766.7298
224	131481.0288
225	131335.7668
226	131236.7719
227	131004.6808
228	130839.3378
229	130609.7605
230	130447.3888
231	130343.0828
232	130158.4547
233	130070.9313
234	129915.5828
235	129646.173
236	129537.3735
237	129469.7922
238	129383.1445
239	129214.4293
240	128904.7927
241	128832.193
242	128718.3924
243	128521.8152
244	128368.9694
245	128283.3
246	128140.0576
247	127990.8079
248	127856.9149
249	127773.6949
250	127628.3342
251	127554.8555
252	127228.6451
253	127081.547
254	126909.9996
255	126845.4535
256	126729.6996
257	126563.9604
258	126323.5112
259	126176.1013
260	125966.343
261	125839.8934
262	125712.2949
263	125491.0505
264	125418.2445
265	125293.0822
266	125089.628
267	125019.1049
268	124931.8418
269	124820.8751
270	124784.2017
271	124685.8883
272	124625.5229
273	124550.6226
274	124338.7898
275	124108.9482
276	123940.6242
277	123823.5211
278	123564.4649
279	123457.7285
280	123332.3614
281	123252.008
282	123129.8716
283	123056.3553
284	122885.459
285	122773.333
286	122621.1206
287	122538.9917
288	122356.917
289	122303.0624
290	122207.5043
291	121968.5478
292	121951.0203
293	121783.9915
294	121727.7794
295	121568.339
296	121445.0096
297	121394.4058
298	121325.5095
299	121220.3679
300	121149.8025
301	120923.0402
302	120754.6165
303	120572.6579
304	120463.9068
305	120396.3371
306	120333.9506
307	120230.2887
308	120080.4405
309	119959.4549
310	119915.1862
311	119767.103
312	119625.0474
313	119413.1629
314	119237.0636
315	119150.1109
316	119066.5511
317	118949.9004
318	118850.0636
319	118666.0974
320	118500.1604
321	118253.0432
322	118178.6074
323	117975.6014
324	117827.2385
325	117748.6659
326	117658.5451
327	117496.5607
328	117422.4296
329	117289.4961
330	117074.0537
331	117002.9061
332	116954.0114
333	116865.7667
334	116792.1041
335	116700.3689
336	116628.2293
337	116539.7441
338	116475.4843
339	116360.1625
340	116294.1595
341	116141.1131
342	116009.2831
343	115865.5391
344	115719.3244
345	115654.0391
346	115516.8713
347	115470.6913
348	115392.362
349	115290.2975
350	115238.4156
351	115152.91
352	115068.8546
353	114973.0671
354	114915.9863
355	114808.0429
356	114685.8388
357	114628.7511
358	114571.3738
359	114518.2398
360	114379.0374
361	114335.1754
362	114253.8464
363	114184.7876
364	114136.0858
365	114006.9879
366	113896.6708
367	113844.1508
368	113720.5518
369	113602.2646
370	113533.8032
371	113422.3237
372	113385.3552
373	113261.2916
374	113221.501
375	113175.2252
376	113114.0827
377	113019.0611
378	112918.7537
379	112851.713
380	112818.7383
381	112722.183
382	112691.2407
383	112647.485
384	112603.9551
385	112535.4063
386	112408.8887
387	112328.0521
388	112235.6464
389	112137.9474
390	112075.2735
391	112002.1505
392	111961.2088
393	111922.868
394	111861.2082
395	111742.8038
396	111645.3964
397	111603.0581
398	111573.1179
399	111456.4587
400	111410.5684
401	111322.2541
402	111257.5467
403	111220.9381
404	111170.9797
405	111103.3628
406	111065.6251
407	110990.3491
408	110945.964
409	110875.3502
410	110841.2121
411	110747.282
412	110698.2746
413	110640.4346
414	110533.3649
415	110487.8669
416	110422.2109
417	110387.2131
418	110318.5073
419	110264.1711
420	110231.3441
421	110179.198
422	110082.2716
423	110036.1497
424	109979.1596
425	109939.364
426	109902.0698
427	109836.2921
428	109744.1628
429	109689.3421
430	109653.3981
431	109601.6016
432	109542.1334
433	109504.1506
434	109409.0902
435	109347.1293
436	109288.2761
437	109261.8959
438	109218.6945
439	109148.5722
440	109125.5773
441	109084.0873
442	109032.3116
443	109008.0583
444	108961.0771
445	108920.9237
