iter	Passed	Remaining
0	4	4052
1	7	3521
2	9	3243
3	12	3188
4	15	3140
5	18	3129
6	21	3112
7	24	3095
8	27	3072
9	31	3102
10	34	3072
11	37	3064
12	39	3035
13	43	3028
14	46	3034
15	49	3031
16	52	3007
17	54	2977
18	57	2966
19	60	2968
20	63	2967
21	66	2977
22	69	2955
23	72	2936
24	74	2922
25	78	2948
26	81	2928
27	83	2915
28	86	2894
29	89	2889
30	91	2875
31	94	2873
32	97	2861
33	99	2840
34	102	2826
35	105	2819
36	108	2816
37	111	2815
38	113	2807
39	116	2797
40	119	2790
41	121	2778
42	124	2780
43	127	2767
44	129	2753
45	132	2740
46	135	2744
47	137	2728
48	140	2724
49	143	2726
50	146	2724
51	149	2723
52	152	2721
53	154	2713
54	157	2712
55	159	2693
56	162	2694
57	164	2671
58	167	2664
59	169	2663
60	173	2666
61	175	2656
62	178	2659
63	181	2654
64	184	2650
65	187	2650
66	190	2656
67	193	2651
68	195	2636
69	197	2629
70	200	2624
71	203	2616
72	205	2615
73	207	2600
74	210	2597
75	213	2593
76	216	2590
77	218	2584
78	221	2586
79	224	2582
80	227	2575
81	229	2571
82	232	2564
83	235	2562
84	238	2566
85	240	2560
86	243	2554
87	246	2549
88	247	2538
89	249	2526
90	252	2525
91	254	2511
92	257	2509
93	260	2508
94	263	2507
95	265	2504
96	269	2506
97	272	2505
98	275	2505
99	278	2503
100	280	2493
101	282	2488
102	285	2488
103	288	2484
104	290	2479
105	293	2478
106	296	2473
107	299	2473
108	302	2470
109	304	2467
110	307	2464
111	310	2460
112	312	2455
113	315	2452
114	318	2448
115	320	2445
116	323	2443
117	326	2439
118	328	2435
119	331	2432
120	334	2430
121	337	2426
122	339	2422
123	342	2421
124	345	2416
125	348	2415
126	350	2411
127	353	2409
128	356	2409
129	360	2410
130	362	2407
131	366	2407
132	369	2406
133	371	2403
134	374	2399
135	377	2395
136	380	2394
137	382	2389
138	385	2386
139	387	2382
140	390	2380
141	393	2376
142	396	2376
143	399	2373
144	402	2371
145	405	2369
146	407	2366
147	410	2364
148	413	2364
149	416	2361
150	419	2357
151	421	2351
152	424	2348
153	427	2346
154	430	2344
155	433	2343
156	435	2339
157	438	2335
158	440	2331
159	444	2331
160	446	2328
161	449	2325
162	452	2321
163	454	2316
164	456	2311
165	460	2312
166	463	2312
167	466	2310
168	469	2307
169	471	2304
170	474	2301
171	477	2301
172	480	2298
173	483	2297
174	486	2292
175	488	2288
176	491	2287
177	494	2285
178	497	2281
179	499	2277
180	502	2274
181	505	2269
182	507	2266
183	510	2264
184	513	2261
185	515	2257
186	518	2255
187	521	2253
188	524	2252
189	527	2248
190	530	2245
191	532	2242
192	535	2240
193	539	2239
194	542	2238
195	545	2237
196	548	2236
197	551	2233
198	553	2229
199	557	2228
200	560	2227
201	562	2224
202	565	2220
203	568	2216
204	571	2215
205	574	2213
206	577	2210
207	580	2208
208	582	2204
209	584	2200
210	588	2200
211	591	2197
212	593	2193
213	596	2190
214	598	2186
215	601	2182
216	604	2181
217	607	2178
218	610	2175
219	612	2172
220	615	2168
221	618	2167
222	621	2164
223	623	2161
224	626	2158
225	629	2155
226	632	2152
227	634	2149
228	637	2145
229	640	2143
230	642	2140
231	646	2138
232	648	2136
233	651	2133
234	654	2131
235	657	2127
236	659	2124
237	662	2121
238	665	2118
239	668	2116
240	670	2113
241	673	2109
242	676	2106
243	678	2103
244	681	2100
245	684	2098
246	687	2095
247	689	2091
248	692	2087
249	694	2084
250	697	2082
251	701	2080
252	703	2078
253	706	2074
254	709	2072
255	712	2069
256	715	2068
257	717	2064
258	720	2061
259	723	2058
260	725	2055
261	728	2051
262	731	2050
263	734	2046
264	736	2044
265	739	2040
266	742	2037
267	744	2033
268	747	2031
269	750	2028
270	753	2026
271	756	2023
272	758	2020
273	762	2019
274	765	2018
275	769	2017
276	772	2015
277	775	2013
278	778	2011
279	780	2007
280	783	2004
281	786	2001
282	788	1998
283	791	1996
284	794	1994
285	797	1990
286	799	1987
287	802	1983
288	804	1979
289	807	1976
290	810	1974
291	813	1972
292	816	1970
293	818	1966
294	821	1963
295	824	1961
296	828	1960
297	831	1958
298	834	1956
299	837	1953
300	839	1949
301	842	1947
302	845	1944
303	847	1941
304	850	1938
305	853	1935
306	856	1933
307	859	1931
308	862	1928
309	864	1925
310	868	1922
311	870	1919
312	873	1917
313	876	1915
314	879	1912
315	882	1909
316	884	1906
317	887	1904
318	890	1901
319	893	1898
320	895	1895
321	899	1893
322	902	1890
323	905	1888
324	907	1885
325	910	1883
326	913	1880
327	916	1877
328	918	1874
329	922	1872
330	925	1871
331	929	1870
332	932	1867
333	935	1864
334	938	1862
335	941	1859
336	944	1857
337	946	1854
338	950	1852
339	953	1850
340	955	1847
341	958	1844
342	961	1842
343	964	1840
344	967	1837
345	971	1836
346	973	1832
347	976	1830
348	979	1827
349	982	1825
350	985	1822
351	988	1818
352	990	1816
353	993	1813
354	996	1810
355	999	1807
356	1002	1806
357	1005	1803
358	1008	1800
359	1011	1798
360	1014	1795
361	1017	1793
362	1020	1790
363	1022	1786
364	1025	1783
365	1027	1780
366	1029	1776
367	1032	1773
368	1035	1771
369	1038	1768
370	1040	1764
371	1042	1760
372	1045	1757
373	1047	1754
374	1050	1751
375	1053	1747
376	1056	1745
377	1058	1741
378	1060	1738
379	1063	1735
380	1065	1731
381	1068	1727
382	1070	1724
383	1072	1721
384	1075	1717
385	1077	1713
386	1079	1709
387	1081	1706
388	1084	1702
389	1086	1698
390	1088	1694
391	1090	1691
392	1092	1687
393	1095	1684
394	1097	1680
395	1099	1676
396	1101	1672
397	1103	1669
398	1105	1665
399	1108	1662
400	1110	1658
401	1112	1654
402	1114	1651
403	1116	1647
404	1118	1643
405	1120	1639
406	1122	1635
407	1124	1631
408	1126	1628
409	1129	1625
410	1131	1621
411	1133	1617
412	1135	1613
413	1137	1609
414	1139	1605
415	1140	1601
416	1142	1597
417	1144	1593
418	1146	1590
419	1148	1586
420	1150	1582
421	1152	1578
422	1154	1574
423	1156	1570
424	1158	1567
425	1160	1564
426	1162	1560
427	1164	1556
428	1166	1552
429	1168	1548
430	1170	1544
431	1171	1540
432	1173	1537
433	1175	1533
434	1177	1529
435	1179	1526
436	1181	1522
437	1183	1518
438	1185	1514
439	1187	1511
440	1189	1507
441	1191	1504
442	1193	1501
443	1195	1497
444	1197	1493
445	1200	1490
446	1202	1487
447	1204	1483
448	1206	1480
449	1208	1476
450	1210	1473
451	1212	1469
452	1214	1465
453	1215	1462
454	1217	1458
455	1219	1454
456	1221	1450
457	1223	1447
458	1225	1444
459	1227	1441
460	1229	1437
461	1231	1434
462	1233	1430
463	1235	1427
464	1237	1423
465	1239	1420
466	1241	1416
467	1243	1413
468	1245	1410
469	1247	1406
470	1249	1403
471	1251	1399
472	1253	1396
473	1255	1393
474	1257	1390
475	1259	1386
476	1261	1383
477	1263	1379
478	1264	1375
479	1266	1372
480	1268	1368
481	1270	1365
482	1272	1362
483	1274	1358
484	1276	1355
485	1278	1352
486	1280	1348
487	1282	1345
488	1284	1341
489	1286	1338
490	1288	1335
491	1290	1332
492	1292	1329
493	1294	1325
